,Dim 1,Dim 2
X16to24,-0.803168549,-0.317300808
X25to34,-0.196931044,0.354446418
X35to44,-0.082041837,0.276835541
X45to54,0.153547277,-0.040167002
X55to64,0.32710369,-0.03105996
X65plus,0.601520128,-0.24274247
Scottish Conservative and Unionist,0.669414752,-0.282450521
Scottish Labour Party,0.111421077,0.209658869
Scottish Liberal Democrats,0.376213913,-0.219852067
Scottish National Party (SNP),-0.02071806,0.218255989
Another Party,-0.098065642,0.398707797
Did not vote,-0.74862052,-0.315181231
Canâ€™t remember,-0.353986391,0.076294751
Prefer not to say,-0.448310413,0.079081493
